,,,,,,,,,,,,,,
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID,FILE
34:57:60:7B:79:A8, 2018-07-11 21:36:22, 2018-07-11 21:39:46,11,54, WPA2, CCMP,PSK,-78,10,0,   0.  0.  0.  0,6, CAIMAN,CAP8
58:EF:68:B7:B2:05, 2018-07-11 21:37:38, 2018-07-11 21:39:44,1,54, WPA2, CCMP TKIP,PSK,-82,7,0,   0.  0.  0.  0,5, Cerec,CAP8
6A:D3:43:0E:3E:69, 2018-07-11 21:36:22, 2018-07-11 21:39:45,6,54, WPA2, CCMP,PSK,-82,14,0,   0.  0.  0.  0,17, Invitados Robledo,CAP8
20:54:FA:9E:89:9C, 2018-07-11 21:39:45, 2018-07-11 21:39:45,9,54, WPA2, CCMP,PSK,-84,2,0,   0.  0.  0.  0,11, HUAWEI-899C,CAP8
00:07:26:1E:85:2B, 2018-07-11 21:37:25, 2018-07-11 21:39:45,6,54, WPA2WPA , CCMP,PSK,-85,5,0,   0.  0.  0.  0,4, TRAC,CAP8
8C:04:FF:F3:DF:E4, 2018-07-11 21:36:22, 2018-07-11 21:39:46,11,54, WPA , CCMP TKIP,PSK,-85,11,0,   0.  0.  0.  0,11, SYLVIA  VTR,CAP8
4E:6E:6E:98:08:8F, 2018-07-11 21:36:21, 2018-07-11 21:39:45,3,54, WPA2, CCMP,PSK,-87,17,0,   0.  0.  0.  0,4, Home,CAP8
E2:55:C4:65:FF:E4, 2018-07-11 21:36:35, 2018-07-11 21:39:44,1,54, WPA2, CCMP TKIP,PSK,-88,12,0,   0.  0.  0.  0,18, Wiftelsur_AgustinA,CAP8
E0:8E:3C:2C:06:E6, 2018-07-11 21:37:59, 2018-07-11 21:39:16,6,54, WPA2WPA , CCMP TKIP,PSK,-86,2,0,   0.  0.  0.  0,13, wifi_jaach2.4,CAP8
FC:15:B4:AF:C5:61, 2018-07-11 21:36:36, 2018-07-11 21:39:02,6,54, OPN ,       ,   ,-90,4,0,   0.  0.  0.  0,30, HP-Print-61-Officejet Pro 8620,CAP8
4C:6E:6E:A8:43:4D, 2018-07-11 21:37:24, 2018-07-11 21:38:56,1,54, WPA2, CCMP TKIP,PSK,-88,5,0,   0.  0.  0.  0,19, wifitelsur_lacasita,CAP8
30:E1:71:AC:07:43, 2018-07-11 21:36:22, 2018-07-11 21:38:42,6,54, WPA2, CCMP,PSK,-85,4,0,   0.  0.  0.  0,26, DIRECT-42-HP OfficeJet 200,CAP8
