Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Alumnos;D4:68:4D:24:5C:D8;;1;No;OPN,None;No;54.0;0;1;0;0;0;0;0;;;Wed Jul 11 21:12:54 2018;Wed Jul 11 21:15:02 2018;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;PDV;D4:68:4D:24:5C:D9;;1;No;WPA2,AES-CCM;No;54.0;0;0;0;0;0;0;0;;;Wed Jul 11 21:13:59 2018;Wed Jul 11 21:15:02 2018;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;HP-Print-71-LaserJet 1102;C4:8E:8F:D7:01:71;;6;No;OPN,None;No;54.0;0;22;0;0;0;0;0;;;Wed Jul 11 21:12:11 2018;Wed Jul 11 21:15:00 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;VIP;50:17:FF:F4:21:64;;1;No;WPA2,AES-CCM;No;54.0;0;8;0;0;0;0;0;;;Wed Jul 11 21:12:25 2018;Wed Jul 11 21:15:00 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Hotel P4 - 2;50:C7:BF:29:16:B0;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;6;0;0;0;0;0;;;Wed Jul 11 21:12:11 2018;Wed Jul 11 21:15:00 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;VIRGINIA;A4:15:88:E4:5E:70;;6;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Wed Jul 11 21:12:11 2018;Wed Jul 11 21:14:32 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;UNOSALUD-CLINICAS;D0:C7:89:CD:C8:E0;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Wed Jul 11 21:13:57 2018;Wed Jul 11 21:14:31 2018;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Hotel P3-1;F4:F2:6D:6E:12:06;;3;No;WPA2,AES-CCM;No;54.0;0;6;0;0;0;0;0;;;Wed Jul 11 21:12:40 2018;Wed Jul 11 21:14:31 2018;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;HP-Print-63-LaserJet 1102;70:18:8B:A1:2C:63;;11;No;OPN,None;No;54.0;0;8;0;0;0;0;0;;;Wed Jul 11 21:12:12 2018;Wed Jul 11 21:14:03 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;WifiTelsur_NOMA;62:02:71:7B:FA:51;;9;No;WPA2,WPA,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Wed Jul 11 21:13:43 2018;Wed Jul 11 21:14:03 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
