,,,,,,,,,,,,,,
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID,FILE
4C:6E:6E:A4:30:AD, 2018-07-11 21:31:07, 2018-07-11 21:34:50,11,54, WPA2, CCMP TKIP,PSK,-67,40,0,   0.  0.  0.  0,11, Telsur_WIFI,CAP7
C8:D7:B0:57:7E:9D, 2018-07-11 21:31:06, 2018-07-11 21:34:50,6,54, OPN ,       ,   ,-75,32,0,   0.  0.  0.  0,17, MOVISTAR WIFI3279,CAP7
00:18:39:71:F8:8E, 2018-07-11 21:31:21, 2018-07-11 21:34:50,6,54, WPA , TKIP,PSK,-82,19,0,   0.  0.  0.  0,18, Melillanca 210-220,CAP7
4E:6E:6E:98:08:8F, 2018-07-11 21:31:21, 2018-07-11 21:34:49,3,54, WPA2, CCMP,PSK,-83,17,0,   0.  0.  0.  0,4, Home,CAP7
FC:3F:DB:78:7B:49, 2018-07-11 21:31:06, 2018-07-11 21:34:50,6,54, WPA2, CCMP,PSK,-83,14,0,   0.  0.  0.  0,30, HP-Print-49-Officejet Pro 8620,CAP7
60:E3:27:4C:E9:38, 2018-07-11 21:32:38, 2018-07-11 21:34:50,6,54, WPA2, CCMP,PSK,-84,5,0,   0.  0.  0.  0,16, TP-LINK_EDIFICIO,CAP7
00:1D:D4:C1:4D:3C, 2018-07-11 21:31:36, 2018-07-11 21:34:50,10,54, WPA , CCMP,PSK,-88,10,0,   0.  0.  0.  0,8, RUSSELL.,CAP7
70:4F:57:F2:1E:FE, 2018-07-11 21:31:06, 2018-07-11 21:34:49,4,54, WPA2, CCMP,PSK,-88,4,0,   0.  0.  0.  0,7, ALEMANA,CAP7
38:FF:36:0E:DE:38, 2018-07-11 21:31:06, 2018-07-11 21:34:30,6,54, WPA2, CCMP,PSK,-86,6,0,   0.  0.  0.  0,3, WSE,CAP7
48:F8:B3:22:4D:66, 2018-07-11 21:31:07, 2018-07-11 21:34:30,6,54, OPN ,       ,   ,-88,17,0,   0.  0.  0.  0,11, ,CAP7
48:D3:43:0E:3F:D9, 2018-07-11 21:31:40, 2018-07-11 21:34:29,1,54, WPA2WPA , CCMP TKIP,PSK,-89,4,0,   0.  0.  0.  0,11, VTR-9224926,CAP7
7A:8A:20:57:E6:62, 2018-07-11 21:33:12, 2018-07-11 21:34:29,1,54, OPN ,       ,   ,-90,2,0,   0.  0.  0.  0,8, Eventos2,CAP7
00:FE:C8:C8:35:65, 2018-07-11 21:31:36, 2018-07-11 21:34:16,11,54, WPA2WPA , CCMP,PSK,-89,6,0,   0.  0.  0.  0,12, Capacitacion,CAP7
00:1E:E5:88:F2:40, 2018-07-11 21:31:07, 2018-07-11 21:34:16,11,54, WPA , TKIP,PSK,-92,3,0,   0.  0.  0.  0,10, Casablanca,CAP7
00:FE:C8:C8:35:62, 2018-07-11 21:31:56, 2018-07-11 21:33:47,11,54, WPA2WPA , CCMP, MGT,-88,5,0,   0.  0.  0.  0,11, CORPORATIVA,CAP7
34:57:60:7B:79:A8, 2018-07-11 21:31:22, 2018-07-11 21:33:47,11,54, WPA2, CCMP,PSK,-90,6,0,   0.  0.  0.  0,6, CAIMAN,CAP7
72:02:71:7F:92:20, 2018-07-11 21:31:40, 2018-07-11 21:33:26,1,54, WPA2WPA , CCMP,PSK,-89,2,0,   0.  0.  0.  0,15, Wifitelsur_BEBB,CAP7
18:A6:F7:B0:22:E2, 2018-07-11 21:31:41, 2018-07-11 21:32:38,6,54, WPA2, CCMP TKIP,PSK,-89,2,0,   0.  0.  0.  0,8, NORA....,CAP7
8C:0D:76:FA:49:5A, 2018-07-11 21:31:06, 2018-07-11 21:31:20,1,54, WPA2, CCMP,PSK,-80,2,0,   0.  0.  0.  0,11, HUAWEI-495A,CAP7
5C:51:88:84:58:3A, 2018-07-11 21:31:06, 2018-07-11 21:31:35,1,54, WPA2, CCMP,PSK,-89,2,0,   0.  0.  0.  0,9, egoico VQ,CAP7
D4:6E:0E:48:E4:74, 2018-07-11 21:31:36, 2018-07-11 21:31:41,8,54, WPA2WPA , CCMP TKIP,PSK,-89,2,0,   0.  0.  0.  0,6, NISSAN,CAP7
FC:15:B4:AF:C5:61, 2018-07-11 21:31:21, 2018-07-11 21:32:44,6,54, OPN ,       ,   ,-90,2,0,   0.  0.  0.  0,30, HP-Print-61-Officejet Pro 8620,CAP7
00:25:C4:17:69:A1, 2018-07-11 21:31:07, 2018-07-11 21:33:13,6,54, WEP , WEP,   ,-87,5,0,   0.  0.  0.  0,11, Red_Interna,CAP7
E2:55:C4:65:FF:E4, 2018-07-11 21:31:35, 2018-07-11 21:33:41,1,54, WPA2, CCMP TKIP,PSK,-87,4,0,   0.  0.  0.  0,18, Wiftelsur_AgustinA,CAP7
