,,,,,,,,,,,,,,
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
38:FF:36:0E:DE:38, 2018-07-11 21:45:20, 2018-07-11 21:45:20,6,54, WPA2, CCMP,PSK,-87,2,0,   0.  0.  0.  0,3, WSE,CAP9
4C:6E:6E:9B:3B:89, 2018-07-11 21:43:09, 2018-07-11 21:45:20,11,54, WPA2, CCMP TKIP,PSK,-90,13,0,   0.  0.  0.  0,16, WifiTelsur_HHBY2,CAP9
4C:6E:6E:99:D0:55, 2018-07-11 21:42:26, 2018-07-11 21:45:01,36,54, WPA2, CCMP TKIP,PSK,-86,10,0,   0.  0.  0.  0,20, wifitelsur_cabana25G,CAP9
4C:72:B9:30:91:F1, 2018-07-11 21:43:57, 2018-07-11 21:45:00,9,54, WPA2, CCMP TKIP,PSK,-88,3,0,   0.  0.  0.  0,7, ANTONIA,CAP9
00:25:C4:4C:53:21, 2018-07-11 21:43:58, 2018-07-11 21:44:32,11,54, WPA , TKIP,PSK,-91,3,0,   0.  0.  0.  0,9, Wifi_DNRV,CAP9
72:02:71:5E:53:62, 2018-07-11 21:42:25, 2018-07-11 21:44:13,6,54, WPA2, CCMP,PSK,-86,4,0,   0.  0.  0.  0,11, Soc-Montory,CAP9
38:60:77:0C:7D:1D, 2018-07-11 21:44:31, 2018-07-11 21:45:34,9,54, WPA2, CCMP TKIP,PSK,-93,3,0,   0.  0.  0.  0,5, NEWEN,CAP9
62:02:71:5A:BF:57, 2018-07-11 21:42:53, 2018-07-11 21:45:48,2,54, WPA2WPA , CCMP,PSK,-92,3,0,   0.  0.  0.  0,13, WifiTelsur_DP,CAP9
00:1D:D4:C1:4D:3C, 2018-07-11 21:43:29, 2018-07-11 21:45:35,10,54, WPA , CCMP,PSK,-91,7,0,   0.  0.  0.  0,8, RUSSELL.,CAP9
A4:15:88:2D:AB:40, 2018-07-11 21:42:40, 2018-07-11 21:45:34,9,54, WPA2, CCMP,PSK,-90,3,0,   0.  0.  0.  0,6, RPENZO,CAP9
62:02:71:77:DE:8D, 2018-07-11 21:44:13, 2018-07-11 21:45:49,9,54, WPA2WPA , CCMP,PSK,-89,5,0,   0.  0.  0.  0,18, wifitelsur_cabana1,CAP9
22:26:18:52:1A:0B, 2018-07-11 21:43:08, 2018-07-11 21:45:48,1,54, WPA , CCMP TKIP,PSK,-89,10,0,   0.  0.  0.  0,11, Telsur_CRPS,CAP9
7C:8B:CA:3B:65:E8, 2018-07-11 21:42:40, 2018-07-11 21:45:49,11,54, WPA2, CCMP TKIP,PSK,-88,9,0,   0.  0.  0.  0,14, TP-LINK_3B65E8,CAP9
62:02:71:60:CD:5A, 2018-07-11 21:42:40, 2018-07-11 21:45:49,9,54, WPA2, CCMP,PSK,-88,11,0,   0.  0.  0.  0,15, wifitelsur_MANP,CAP9
E2:55:C4:65:FF:E4, 2018-07-11 21:43:08, 2018-07-11 21:45:33,1,54, WPA2, CCMP TKIP,PSK,-88,6,0,   0.  0.  0.  0,18, Wiftelsur_AgustinA,CAP9
48:D3:43:60:FD:81, 2018-07-11 21:43:42, 2018-07-11 21:45:33,1,54, WPA2WPA , CCMP TKIP,PSK,-88,4,0,   0.  0.  0.  0,11, VTR-0668433,CAP9
46:D2:44:09:6B:01, 2018-07-11 21:42:24, 2018-07-11 21:45:33,1,54, WPA2, CCMP,PSK,-85,8,0,   0.  0.  0.  0,15, DIRECT-4409EB01,CAP9
4C:6E:6E:99:D0:54, 2018-07-11 21:42:39, 2018-07-11 21:45:48,3,54, WPA2, CCMP TKIP,PSK,-84,12,0,   0.  0.  0.  0,18, wifitelsur_cabana2,CAP9
84:AA:9C:6F:80:18, 2018-07-11 21:42:26, 2018-07-11 21:45:49,11,54, WPA2, CCMP,PSK,-83,27,0,   0.  0.  0.  0,7, ISIDORA,CAP9
82:2A:A8:A1:76:3F, 2018-07-11 21:42:25, 2018-07-11 21:45:48,6,54, WPA2, CCMP,PSK,-82,20,0,   0.  0.  0.  0,14, PUNTO CREATIVO,CAP9
A8:0C:63:C4:2B:89, 2018-07-11 21:45:48, 2018-07-11 21:45:48,6,54, WPA2, CCMP,PSK,-81,2,0,   0.  0.  0.  0,12, mamá te amo,CAP9
92:2A:A8:A1:76:3F, 2018-07-11 21:42:25, 2018-07-11 21:45:49,6,54, OPN ,       ,   ,-80,16,0,   0.  0.  0.  0,22, Punto Creativo visitas,CAP9
